ID,age,sex,monthly income,work hours/week,favourite colour,siblings,top finish placement,last time,bed time,wake up time,total sleep/night,caloric intake,steps taken
0597150,55,f,$5060.0,72,red,3,3rd,22secs,7:48:12.206PM,5:5:33.81AM,-5.59,3750,
0597151,62,M,$8246.0,51,reD,7,9th,28secs,7:54:28.350PM,10:58:30.162AM,3.05,3000,
0597152,54,male,$13500.0,68,yellow,6,9th,23secs,12:22:32.876PM,9:20:19.567AM,-2.78,2250,22502250225022502250225022502250225022502250225022502250225022502250225022502250
0597153,70,M,$8400.0,50,gReeN,4,9th,23secs,11:54:31.334PM,11:11:20.644AM,3.63,1500,15001500150015001500150015001500150015001500150015001500150015001500150015001500
0597154,44,M,$5368.0,35,green,1,4th,29secs,4:20:21.721AM,7:20:29.732AM,-1.1,2000,
0597155,87,f,$10614.0,77,yellow,4,9th,20secs,10:7:56.866PM,8:16:8.593AM,5.34,2500,
0597156,49,Female,$1078.0,21,BLUE,4,8th,24secs,8:12:28.781PM,12:35:22.310PM,-7.77,3250,
0597157,15,Female,$4125.0,78,red,9,3rd,25secs,3:16:33.14AM,6:51:55.343AM,-8.9,3750,375037503750375037503750375037503750375037503750375037503750
0597158,65,female,$3965.0,64,BLUE,4,4th,26secs,2:36:57.757AM,11:4:13.359AM,3.33,3000,30003000300030003000300030003000300030003000300030003000300030003000300030003000
0597159,64,F,$13312.0,58,0,3,2nd,26secs,9:14:20.284PM,5:33:13.266AM,1.29,2000,200020002000200020002000200020002000200020002000200020002000
0597160,21,M,$4767.0,53,blue,8,9th,30secs,3:23:35.1AM,6:44:25.920AM,10.34,3000,
0597161,68,Female,$13872.0,25,gReeN,4,6th,23secs,3:13:0.36AM,6:23:3.545AM,-7.17,2500,250025002500250025002500250025002500250025002500250025002500
0597162,11,f,$3223.0,20,None,0,8th,22secs,1:38:47.705AM,11:10:16.876AM,2.7,2250,22502250225022502250
0597163,9,Female,$2601.0,78,BLUE,9,3rd,24secs,10:35:48.979PM,8:45:41.18AM,3.24,2250,2250225022502250225022502250225022502250
0597164,37,f,$7881.0,35,gReeN,8,9th,27secs,1:24:8.41AM,7:30:53.80AM,-7.9,3500,
0597165,66,m,$15642.0,35,None,7,9th,20secs,12:40:13.794PM,9:43:17.423AM,-7.88,3500,35003500350035003500350035003500350035003500350035003500350035003500350035003500
0597166,58,male,$15196.0,74,yellow,6,9th,28secs,3:10:41.916AM,5:47:32.426AM,11.43,1500,150015001500150015001500150015001500150015001500150015001500
0597167,87,F,$6090.0,53,blue,9,5th,23secs,11:49:20.632PM,8:13:27.72AM,-6.36,3500,
0597168,32,f,$7808.0,43,green,7,8th,24secs,10:44:38.180PM,7:20:44.629AM,-9.66,2250,2250225022502250225022502250225022502250
0597169,24,F,$792.0,27,reD,9,4th,20secs,3:49:36.115AM,10:10:52.525AM,-9.1,3000,
0597170,62,Male,$17732.0,38,red,0,6th,26secs,1:54:35.415AM,5:56:11.115AM,-10.34,3750,
0597171,77,Male,$6468.0,9,gReeN,3,7th,26secs,7:44:29.274PM,10:23:37.685AM,9.64,3500,
0597172,43,male,$1720.0,16,BLUE,8,2nd,22secs,7:19:45.870PM,11:15:31.119AM,10.65,3250,325032503250325032503250325032503250325032503250325032503250
0597173,8,X,$376.0,61,gReeN,7,8th,29secs,11:24:8.497PM,9:8:18.463AM,-12.34,2250,
0597174,23,M,$6325.0,36,gReeN,5,2nd,29secs,1:6:47.984AM,12:28:53.236PM,1.28,2250,22502250225022502250225022502250225022502250225022502250225022502250225022502250
0597175,45,female,$10890.0,7,reD,5,6th,24secs,9:40:51.909PM,6:8:33.781AM,2.43,2000,20002000200020002000
0597176,35,f,$4340.0,61,gReeN,6,8th,21secs,10:28:52.911PM,6:12:53.717AM,-10.7,2500,250025002500250025002500250025002500250025002500250025002500
0597177,76,female,$20368.0,67,reD,5,2nd,23secs,12:0:46.134PM,6:2:59.582AM,-5.19,1500,150015001500150015001500150015001500150015001500150015001500
0597178,41,f,$10947.0,39,blue,1,3rd,20secs,3:59:25.821AM,6:10:21.667AM,-3.84,1750,1750175017501750175017501750175017501750
0597179,19,f,$5301.0,40,yellow,0,5th,20secs,12:17:57.885PM,10:10:29.574AM,-3.72,2750,
0597180,64,female,$4928.0,43,BLUE,8,9th,21secs,12:31:37.255PM,12:12:24.139PM,11.11,1500,15001500150015001500150015001500150015001500150015001500150015001500150015001500
0597181,69,F,$8487.0,5,green,0,3rd,24secs,10:45:31.542PM,9:13:6.446AM,-1.06,2250,2250225022502250225022502250225022502250
0597182,42,male,$5082.0,56,yellow,3,5th,22secs,11:35:53.183PM,7:33:37.282AM,7.39,3500,350035003500350035003500350035003500350035003500350035003500
0597183,73,Male,$4015.0000000000005,47,BLUE,0,8th,28secs,2:43:55.151AM,9:46:28.571AM,-6.99,3750,37503750375037503750
0597184,75,Male,$21600.0,33,blue,5,6th,30secs,8:15:27.800PM,12:15:28.530PM,5.15,3250,325032503250325032503250325032503250325032503250325032503250
0597185,28,Male,$7252.0,21,BLUE,9,7th,22secs,2:59:5.600AM,7:55:49.469AM,-7.27,3750,375037503750375037503750375037503750375037503750375037503750
0597186,57,F,$1710.0,79,red,6,1st,23secs,10:15:2.373PM,5:56:3.460AM,-5.37,2750,27502750275027502750
0597187,7,female,$1897.0,26,blue,8,9th,20secs,3:17:58.947AM,8:47:35.377AM,-12.0,3000,300030003000300030003000300030003000300030003000300030003000
0597188,76,M,$5244.0,55,gReeN,1,1st,26secs,11:11:46.257PM,11:4:47.577AM,4.68,1500,15001500150015001500150015001500150015001500150015001500150015001500150015001500
0597189,8,M,$2240.0,71,yellow,9,3rd,22secs,12:47:1.14PM,11:42:16.415AM,6.38,2000,20002000200020002000
0597190,61,m,$15067.000000000002,65,yellow,5,4th,23secs,2:51:59.84AM,11:7:13.379AM,8.17,3750,
0597191,54,m,$4914.0,12,None,6,6th,28secs,9:7:56.647PM,6:16:47.170AM,6.14,1500,1500150015001500150015001500150015001500
0597192,26,Male,$5798.0,40,red,3,3rd,20secs,9:29:17.387PM,7:45:43.129AM,7.92,2500,2500250025002500250025002500250025002500
0597193,36,f,$7776.000000000001,66,reD,1,5th,25secs,9:23:47.657PM,11:32:32.568AM,-10.45,3250,
0597194,53,Male,$14522.000000000002,65,gReeN,4,7th,23secs,1:15:38.415AM,9:22:30.618AM,3.65,2250,22502250225022502250
0597195,70,m,$20090.0,53,BLUE,0,3rd,22secs,7:49:39.868PM,11:50:54.395AM,-0.7,2000,2000200020002000200020002000200020002000
0597196,64,M,$6272.0,15,BLUE,1,5th,20secs,11:48:22.368PM,7:29:46.653AM,11.53,1750,1750175017501750175017501750175017501750
0597197,80,Male,$19760.0,45,yellow,9,1st,29secs,7:17:33.359PM,6:14:32.378AM,-9.84,2500,0
0597198,36,Female,$9288.0,12,red,8,5th,22secs,12:45:21.587PM,6:17:14.441AM,-6.08,3750,37503750375037503750
0597199,0,f,$2490.0,79,red,9,8th,27secs,10:18:31.574PM,7:1:19.624AM,0.41,1500,
0597200,16,male,$1952.0,43,reD,4,0,22secs,2:48:59.336AM,9:29:17.958AM,-10.91,3250,32503250325032503250
0597201,34,Male,$4624.0,40,yellow,8,8th,20secs,3:47:33.236AM,6:34:9.501AM,4.57,1500,
0597202,33,M,$4191.0,51,gReeN,5,2nd,26secs,12:0:16.161PM,9:45:32.260AM,2.08,3750,3750375037503750375037503750375037503750
0597203,49,F,$7252.0,27,red,4,2nd,28secs,8:49:19.948PM,9:17:46.618AM,-5.82,2500,25002500250025002500250025002500250025002500250025002500250025002500250025002500
0597204,82,Male,0,15,None,0,2nd,21secs,3:42:27.910AM,12:42:44.508PM,1.09,3750,
0597205,69,Female,$17388.0,68,reD,1,8th,29secs,4:56:6.492AM,10:14:30.189AM,7.21,2250,22502250225022502250225022502250225022502250225022502250225022502250225022502250
0597206,46,m,$3772.0,13,reD,9,1st,20secs,10:6:21.412PM,5:19:18.497AM,-6.2,2000,
0597207,12,Female,$600.0,40,yellow,7,7th,23secs,4:33:32.184AM,8:38:18.206AM,-6.35,2750,2750275027502750275027502750275027502750
0597208,10,female,$2740.0,60,gReeN,9,8th,22secs,0,11:26:22.671AM,-7.98,1500,15001500150015001500
0597209,19,male,$5491.0,64,green,1,6th,28secs,7:54:55.16PM,5:13:0.542AM,0.24,2250,22502250225022502250
0597210,84,m,$14112.0,42,blue,7,2nd,21secs,9:29:20.157PM,11:37:58.13AM,10.43,2000,20002000200020002000
0597211,50,M,$8300.0,64,BLUE,7,7th,26secs,11:46:35.582PM,11:49:2.687AM,9.29,3750,
0597212,81,m,$20007.0,79,red,7,2nd,29secs,12:42:47.362PM,7:13:20.879AM,-11.45,2250,22502250225022502250
0597213,31,X,$7904.999999999999,52,green,6,6th,30secs,9:23:6.411PM,5:41:57.281AM,1.25,2750,
0597214,22,X,$4224.0,5,BLUE,2,3rd,24secs,2:49:45.304AM,10:24:13.55AM,-6.09,1500,
0597215,76,m,$17936.0,24,green,1,7th,21secs,10:52:34.9PM,9:25:54.218AM,10.67,3500,35003500350035003500350035003500350035003500350035003500350035003500350035003500
0597216,38,m,$7676.0,12,blue,3,4th,28secs,1:28:1.733AM,12:54:46.572PM,-4.58,2250,22502250225022502250
0597217,82,female,$17794.0,28,reD,6,4th,26secs,4:53:8.242AM,5:48:25.948AM,-4.0,2000,20002000200020002000200020002000200020002000200020002000200020002000200020002000
0597218,49,F,$12985.0,29,BLUE,7,5th,27secs,4:25:58.852AM,10:9:9.406AM,-12.08,2750,
0597219,11,male,$1210.0,63,yellow,6,3rd,28secs,9:2:11.408PM,5:57:14.775AM,-9.93,3750,37503750375037503750
0597220,74,f,$7030.0,64,green,2,1st,27secs,7:58:25.817PM,9:10:41.176AM,6.89,2750,27502750275027502750
0597221,32,f,$6400.0,19,gReeN,2,2nd,23secs,4:30:29.428AM,6:57:21.910AM,-0.48,3000,30003000300030003000300030003000300030003000300030003000300030003000300030003000
0597222,77,M,$3080.0,12,gReeN,5,9th,0,10:41:5.656PM,6:7:49.375AM,8.71,1500,15001500150015001500150015001500150015001500150015001500150015001500150015001500
0597223,59,Male,$9971.0,38,red,9,7th,29secs,11:42:20.197PM,11:13:24.122AM,8.68,3250,
0597224,69,f,$1656.0,40,gReeN,1,2nd,20secs,7:43:2.304PM,6:48:16.282AM,10.41,3750,
